Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,ticker,Payout_Medio,PL_Medio_Subsetor,preco_teto_graham,margem_seguranca_graham,preco_teto_barsi,margem_seguranca_barsi,preco_alvo_pl_setor,margem_seguranca_pl_setor,score_wsm,score_wsm_penalidade
ON,BANCO DO BRASIL S.A. ON,Intermediários Financeiros,Bancos,20.52,2025-10-24,18.35,29.30,674166000,117597000000.0,,2025-06-30,5730830000.0,4.28,67.0,,,,,,0.8400000000000001,,,0.71,4.79,30.49,,,0.0,0.0,,1.5699999999999998,,,,2400620000000,0,0,174734000000,46534100000,20464700000,27474600000,6359170000,4937150000,3085410000,,,,,,,,,BBAS3,0.35985,10.2,57.32,179.34,28.67,39.72,48.86,138.11,,
ON NM,BLAU ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,12.7,2025-10-24,11.41,16.63,2419260,2278300000.0,2484240000.0,2025-06-30,179394000.0,8.06,101.0,602.0,129.0,66.0,205.0,559.0,0.27,567.0,657.0,0.74,1.58,12.63,4.0,2.1399999999999997,1.58,1.09,1.3,1.25,317.0,22.0,51.0,3470560000,,,2266030000,,,282667000,,,63350000,297922000,1625860000,503859000,205937000,1767420000,378302000,464826000,102608000,BLAU3,0.21703,23.49,21.19,66.85,5.67,-55.35,37.11,192.2,,
ON NM,BEMOBI TECH ON NM,Programas e Serviços,Programas e Serviços,22.3,2025-10-24,12.38,23.60,7505810,1909070000.0,1435630000.0,2025-06-30,85608400.0,15.16,169.0,1476.0,121.0,118.0,282.0,320.0,0.76,723.0,1110.0,5.11,1.47,13.17,2.41,0.82,0.8099999999999999,0.8,1.29,1.1199999999999999,265.0,2.0,97.0,1620650000,,,1127180000,,,125958000,,,33233000,492436000,1084740000,19002000,-473434000,1577270000,129363000,408524000,36046000,BMOB3,1.15293,31.79,20.87,-6.41,28.17,26.32,46.73,109.55,20.43114566128154,-3.0250690291023092
UNT,BTGP BANCO UNT,Intermediários Financeiros,Bancos,47.65,2025-10-24,26.26,48.85,343054000,182756000000.0,,2025-06-30,11506100000.0,13.63,287.0,,,,,,0.22000000000000003,,,1.3900000000000001,3.5,16.61,,,0.0,0.0,,2.1100000000000003,,,,545462000000,98894700000,140127000000,63703300000,9896910000,3094390000,13411500000,2893090000,804014000,4009230000,,,,,,,,,BPAC11,0.29951,10.2,36.17,-24.09,17.5,-63.27,35.7,-25.08,,
PN,BANCO PAN PN,Intermediários Financeiros,Bancos,10.15,2025-10-24,6.18,10.15,19071300,12881100000.0,,2025-06-30,1269070000.0,16.89,168.0,,,,,,0.24,,,0.21000000000000002,0.6,6.05,,,0.0,0.0,,0.99,,,,67447500000,0,0,7678540000,6576850000,1511890000,762560000,1478410000,371857000,169355000,,,,,,,,,BPAN4,0.406,10.2,9.04,-10.94,4.0,-60.59,6.12,-39.7,,
PNB,BANRISUL S/A PNB,Intermediários Financeiros,Bancos,12.74,2025-10-24,9.02,12.74,14273000,5210330000.0,,2025-06-30,408974000.0,4.74,49.0,,,,,,0.97,,,0.45999999999999996,2.69,26.03,,,0.0,0.0,,1.03,,,,155796000000,0,0,10645700000,6108410000,1042290000,1099840000,1554980000,254612000,377561000,,,,,,,,,BRSR6,0.4594,10.2,39.69,211.54,20.67,62.24,27.44,115.38,,
ON NM,CAMIL ON NM,Alimentos Processados,Alimentos Diversos,5.46,2025-10-24,3.36,7.69,5042190,1911000000.0,5631950000.0,2025-08-31,350000000.0,11.62,56.0,368.0,16.0,17.0,89.0,-124.0,0.54,715.0,1085.0,0.95,0.47,9.8,1.9899999999999998,0.44000000000000006,0.13999999999999999,0.45999999999999996,0.64,0.48,151.0,164.0,104.0,11340200000,,,3429760000,,,164415000,,,78703000,1907190000,6364480000,5628150000,3720950000,11768800000,518897000,2979670000,175835000,CAML3,0.62732,16.16,10.18,86.45,4.83,-11.54,7.6,39.19,17.790860036741076,-9.027360163403715
ON NM,CEA MODAS ON NM,Comércio,"Tecidos, Vestuário e Calçados",16.69,2025-10-24,7.42,20.65,62299400,5144610000.0,5408570000.0,2025-06-30,308245000.0,10.25,149.0,506.0,64.0,58.0,375.0,-416.0,0.22999999999999998,396.0,532.0,1.28,1.63,11.21,5.51,1.27,0.63,1.15,1.58,1.45,149.0,37.0,90.0,8869900000,,,3455690000,,,502151000,,,200313000,1003880000,4176960000,1267840000,263959000,8022470000,1017210000,2058460000,278631000,CEAB3,0.2355,10.59,20.28,21.51,6.33,-62.07,17.26,3.42,18.24911729139535,6.285118222063338
ON N1,CEMIG ON N1,Energia Elétrica,Energia Elétrica,13.92,2025-10-24,13.09,18.31,2752970,39836000000.0,52121100000.0,2025-06-30,2861780000.0,6.13,140.0,592.0,95.0,63.0,-65426.0,-187.0,0.6,638.0,775.0,0.9400000000000001,2.27,9.95,1.8199999999999998,1.6,1.55,1.06,1.17,2.2800000000000002,100.0,54.0,66.0,63411200000,,,28473200000,,,6502650000,,,1187630000,2978860000,13612200000,15263900000,12285100000,41956300000,6726120000,10786300000,1969430000,CMIG3,0.36793,13.4,22.54,61.93,14.0,0.57,30.42,118.53,30.44774934173408,25.71815740143181
PN N1,CEMIG PN N1,Energia Elétrica,Energia Elétrica,10.71,2025-10-24,9.10,11.27,99049900,30649700000.0,42934800000.0,2025-06-30,2861780000.0,4.71,108.0,456.0,73.0,48.0,-50339.0,-144.0,0.77,526.0,638.0,0.9400000000000001,2.27,9.95,1.8199999999999998,1.6,1.55,1.06,1.17,2.2800000000000002,100.0,54.0,66.0,63411200000,,,28473200000,,,6502650000,,,1187630000,2978860000,13612200000,15263900000,12285100000,41956300000,6726120000,10786300000,1969430000,CMIG4,0.36329,13.4,22.54,110.46,13.67,27.64,30.42,184.03,41.170457082565285,36.91930754127183
ON,COGNA ON,Diversos,Serviços Educacionais,3.48,2025-10-24,0.96,3.48,82396300,6530590000.0,11969900000.0,2025-06-30,1876610000.0,5.88,52.0,297.0,97.0,28.0,441.0,-115.0,0.19,413.0,544.0,1.0699999999999998,0.59,6.7,6.82,3.2700000000000005,1.81,0.93,1.02,0.8800000000000001,153.0,51.0,28.0,23649400000,,,12565400000,,,1110620000,,,118799000,944287000,4264420000,6383630000,5439350000,6734400000,2201630000,1664600000,475701000,COGN3,0.11207,8.7,9.43,170.98,1.17,-66.38,5.13,47.41,,
ON,CPFL ENERGIA S.A. ON,Energia Elétrica,Energia Elétrica,40.8,2025-10-24,28.79,41.23,49917900,47012000000.0,71733100000.0,2025-06-30,1152250000.0,8.69,219.0,417.0,107.0,59.0,-2074.0,-116.0,0.6799999999999999,539.0,636.0,0.51,4.69,18.64,3.15,2.56,1.3,1.42,1.58,2.52,88.0,135.0,56.0,79238200000,,,21481800000,,,5406970000,,,1124320000,4210650000,16105800000,28931800000,24721100000,44004800000,11271400000,10549100000,2574690000,CPFE3,0.59156,13.4,44.35,8.7,46.17,13.16,62.85,54.04,41.970620852941146,36.14703537620574
ON,COPEL ON,Energia Elétrica,Energia Elétrica,12.84,2025-10-24,7.62,12.84,55503300,38299300000.0,55281400000.0,2025-06-30,2982810000.0,12.58,150.0,900.0,160.0,63.0,2670.0,-166.0,0.45999999999999996,967.0,1299.0,0.21000000000000002,1.02,8.58,2.18,1.78,1.27,0.7,0.77,1.19,113.0,78.0,39.0,60742000000,,,25596100000,,,3043810000,,,572140000,2905740000,12093900000,19887900000,16982100000,23872000000,4257300000,6225150000,1046630000,CPLE3,0.57906,13.4,14.03,9.27,9.83,-23.44,13.67,6.46,2.34606988988745,-13.719284760403482
PNB,COPEL PNB,Energia Elétrica,Energia Elétrica,13.64,2025-10-24,8.43,13.64,134214000,40685500000.0,57667700000.0,2025-06-30,2982810000.0,13.37,159.0,956.0,170.0,67.0,2836.0,-176.0,0.47000000000000003,1008.0,1355.0,0.21000000000000002,1.02,8.58,2.18,1.78,1.27,0.7,0.77,1.19,113.0,78.0,39.0,60742000000,,,25596100000,,,3043810000,,,572140000,2905740000,12093900000,19887900000,16982100000,23872000000,4257300000,6225150000,1046630000,CPLE6,0.62851,13.4,14.03,2.86,10.67,-21.77,13.67,0.22,1.171602140951843,-15.47502349845173
ON NM,CRUZEIRO EDU ON NM,Diversos,Serviços Educacionais,5.72,2025-10-24,2.59,5.75,2146570,2085180000.0,2711540000.0,2025-06-30,364543000.0,10.36,135.0,409.0,78.0,45.0,766.0,-98.0,0.37,352.0,531.0,1.09,0.55,4.23,4.9799999999999995,1.9,0.75,1.1,1.3,1.31,138.0,83.0,58.0,4659040000,,,1542860000,,,201363000,,,62663000,655979000,994728000,1282340000,626359000,2680520000,510396000,721094000,127440000,CSED3,0.3848,8.7,7.24,26.57,3.5,-38.81,4.79,-16.26,13.202830045278066,4.58071621517576
ON,COPASA MG ON,Água e Saneamento,Água e Saneamento,37.53,2025-10-24,19.00,37.53,89729100,14270900000.0,20057800000.0,2025-06-30,380253000.0,10.51,169.0,652.0,176.0,86.0,1460.0,-261.0,0.47000000000000003,656.0,917.0,1.02,3.57,22.15,4.26,2.7,1.6800000000000002,1.3199999999999998,1.44,1.61,157.0,81.0,49.0,16581900000,,,8421330000,,,1358150000,,,289441000,1032960000,2683800000,6819840000,5786880000,8093780000,2188010000,1979820000,496891000,CSMG3,0.49409,10.2,42.18,12.39,29.33,-21.85,36.41,-2.98,,
ON NM,CURY S/A ON NM,Construção Civil,Incorporações,33.6,2025-10-24,16.19,33.96,69437800,9807000000.0,9579240000.0,2025-06-30,291875000.0,12.47,737.0,863.0,211.0,189.0,623.0,-1635.0,0.45999999999999996,818.0,843.0,3.29,2.69,4.56,3.91,2.44,1.8699999999999999,2.19,3.38,5.91,210.0,98.0,90.0,5183960000,,,1329970000,,,786561000,,,236731000,1530880000,3005750000,1303110000,-227763000,4653630000,1136960000,1346600000,343627000,CURY3,0.57457,9.18,16.61,-50.57,25.83,-23.13,24.69,-26.52,,
PN,CYRELA BRAZIL REALTY PN,Construção Civil,Incorporações,30.13,2025-10-24,15.59,30.74,145201000,11569900000.0,15192500000.0,2025-06-30,384000000.0,6.87,118.0,763.0,135.0,49.0,125.0,1682.0,0.35,941.0,1001.0,1.7600000000000002,4.39,25.48,3.2600000000000002,1.77,1.64,0.65,0.76,1.72,336.0,70.0,37.0,23414800000,,,9786080000,,,1685170000,,,387807000,3267090000,13227800000,6889690000,3622590000,8595790000,1517180000,2107130000,337235000,CYRE3,0.24022,9.18,50.17,66.51,17.5,-41.92,40.3,33.75,17.008964094814054,5.141884529653356
ON NM,DESKTOPSIGMA ON NM,Telecomunicações,Telecomunicações,15.2,2025-10-24,7.72,15.90,8002260,1761790000.0,2882950000.0,2025-06-30,115907000.0,21.95,127.0,534.0,150.0,44.0,382.0,-108.0,0.02,507.0,873.0,2.88,0.69,11.96,6.17,2.82,0.75,0.8300000000000001,1.02,0.58,193.0,129.0,29.0,3994970000,,,1386660000,,,80267000,,,15414000,666010000,953692000,1787170000,1121160000,1172540000,330185000,297407000,80945000,DESK3,0.04406,18.93,13.63,-10.33,0.5,-96.71,13.06,-14.08,11.527022464327814,-10.247958477800823
ON NM,Direcional Engenharia ON NM,Construção Civil,Incorporações,16.15,2025-10-24,7.67,16.17,67426500,8406070000.0,8397100000.0,2025-06-30,520500000.0,12.18,381.0,968.0,222.0,73.0,243.0,-219.0,0.67,892.0,967.0,2.2,1.33,4.23,3.78,2.29,2.1100000000000003,0.75,0.9400000000000001,3.13,293.0,96.0,33.0,11566900000,,,2203630000,,,690183000,,,183742000,2124580000,5250820000,2115600000,-8977150,3794150000,868786000,1065210000,256734000,DIRR3,0.81357,9.18,11.25,-30.34,18.0,11.46,12.21,-24.4,9.343529505402698,-10.681729199159577
ON,DEXCO ON,Madeira e Papel,Madeira,5.25,2025-10-24,4.97,8.51,13469300,4307970000.0,9458610000.0,2025-06-30,820566000.0,22.38,63.0,815.0,52.0,24.0,481.0,-71.0,0.1,525.0,1790.0,0.1,0.23,8.3,2.5300000000000002,0.63,0.25,0.29,0.35,0.27999999999999997,122.0,97.0,46.0,17988500000,,,6806910000,,,192518000,,,31717000,1461500000,4911420000,6612140000,5150640000,8327470000,528525000,2121660000,93508000,DXCO3,0.22826,22.38,6.55,24.76,0.83,-84.19,5.15,-1.9,2.691304347826087,-2.7434782608695647
ON NM,ECORODOVIAS ON NM,Transporte,Exploração de Rodovias,7.93,2025-10-24,3.85,8.39,31527200,5521930000.0,25452800000.0,2025-06-30,696334000.0,7.31,146.0,147.0,53.0,17.0,-341.0,-23.0,0.39,516.0,676.0,2.82,1.08,5.43,3.94,3.59,0.71,1.15,1.28,2.0,72.0,606.0,32.0,32690900000,,,3777960000,,,755265000,,,203943000,2981530000,4228480000,22912400000,19930900000,10476300000,3765430000,2718140000,1001090000,ECOR3,0.28636,13.74,11.49,44.89,5.17,-34.8,14.84,87.14,22.002152249288542,15.637111711631722
ON,ELETROBRÁS ON,Energia Elétrica,Energia Elétrica,54.15,2025-10-24,31.24,54.93,399944000,125012000000.0,165465000000.0,2025-06-30,2308630000.0,18.85,105.0,835.0,286.0,45.0,539.0,-118.0,0.65,860.0,1105.0,0.89,2.87,51.42,4.5200000000000005,3.4299999999999997,1.52,0.54,0.62,0.5599999999999999,186.0,59.0,16.0,274960000000,,,118707000000,,,6631620000,,,-1325110000,29837100000,49985200000,70289900000,40452700000,43681100000,14969700000,10199000000,3629960000,ELET3,1.22639,13.4,57.62,6.41,58.67,8.35,38.46,-28.98,6.873838208252748,-6.717066798089923
PNB,ELETROBRÁS PNB,Energia Elétrica,Energia Elétrica,57.37,2025-10-24,35.41,57.83,70982500,132446000000.0,172899000000.0,2025-06-30,2308630000.0,19.97,112.0,885.0,303.0,48.0,572.0,-125.0,0.67,899.0,1155.0,0.89,2.87,51.42,4.5200000000000005,3.4299999999999997,1.52,0.54,0.62,0.5599999999999999,186.0,59.0,16.0,274960000000,,,118707000000,,,6631620000,,,-1325110000,29837100000,49985200000,70289900000,40452700000,43681100000,14969700000,10199000000,3629960000,ELET6,1.3393,13.4,57.62,0.44,64.0,11.56,38.46,-32.96,6.245498898854634,-8.289903203059792
ON,EMBRAER ON,Material de Transporte,Material Aeronáutico e de Defesa,86.38,2025-10-24,48.42,86.38,385544000,63961400000.0,69133100000.0,2025-06-30,740465000.0,29.91,352.0,1450.0,161.0,97.0,729.0,-602.0,0.01,1181.0,1567.0,1.3,2.89,24.57,1.86,1.1099999999999999,0.53,0.67,0.8400000000000001,1.1800000000000002,133.0,66.0,60.0,65886600000,,,18191200000,,,2138160000,,,448777000,6862620000,35566800000,12034300000,5171720000,39804500000,4412470000,10270400000,1196360000,EMBR3,0.02989,29.91,39.97,-53.73,1.5,-98.26,86.44,0.07,1.304609899677035e-15,-10.869565217391305
UNT N2,ENERGISA UNT N2,Energia Elétrica,Energia Elétrica,51.98,2025-10-24,33.28,51.98,122137000,23800900000.0,52897500000.0,2025-06-30,2289420000.0,6.97,131.0,361.0,68.0,30.0,712.0,-62.0,0.5599999999999999,617.0,803.0,1.02,7.46,39.81,2.5100000000000002,1.8800000000000001,1.24,0.8300000000000001,0.97,1.8699999999999999,123.0,207.0,44.0,79416800000,,,18226900000,,,3414850000,,,257292000,8717610000,17857200000,37814300000,29096700000,35112200000,6586860000,8563870000,1715970000,ENGI11,0.3902,13.4,81.74,57.25,48.5,-6.69,99.96,92.3,,
ON NM,EQUATORIAL ENERGIA S.A. ON NM,Energia Elétrica,Energia Elétrica,37.1,2025-10-24,25.68,37.33,273516000,46579200000.0,92283000000.0,2025-06-30,1255510000.0,12.75,166.0,447.0,94.0,40.0,949.0,-78.0,0.21000000000000002,713.0,886.0,2.63,2.91,22.3,2.75,2.1100000000000003,0.9099999999999999,0.89,1.02,1.31,124.0,197.0,42.0,116701000000,,,27995100000,,,3653520000,,,1073600000,9408180000,25128800000,55112000000,45703800000,49485800000,10420800000,12795300000,2871800000,EQTL3,0.26773,13.4,38.21,2.99,13.0,-64.96,38.99,5.09,6.893088292742346,-6.559923010387583
ON NM,EZTec ON NM,Construção Civil,Incorporações,16.83,2025-10-24,10.20,17.54,19814700,3719250000.0,4057190000.0,2025-06-30,220989000.0,7.54,74.0,1045.0,223.0,53.0,133.0,308.0,0.82,1095.0,1140.0,1.28,2.23,22.7,3.78,2.1399999999999997,3.13,0.51,0.61,0.9800000000000001,937.0,31.0,24.0,7031120000,,,5016000000,,,493241000,,,139907000,1193770000,3134470000,1531710000,337944000,1665930000,355835000,449254000,100375000,EZTC3,0.61886,9.18,33.75,100.53,23.0,36.66,20.47,21.63,28.244289119572258,13.93134624613692
PN,FERBASA PN,Siderurgia e Metalurgia,Siderurgia,6.79,2025-10-24,6.01,8.11,3317320,2398060000.0,1723890000.0,2025-06-30,353175000.0,8.8,71.0,1364.0,100.0,56.0,188.0,269.0,0.74,380.0,981.0,0.13999999999999999,0.77,9.54,1.7399999999999998,0.73,1.1400000000000001,0.41,0.55,0.8099999999999999,346.0,9.0,56.0,4276430000,,,3369260000,,,272489000,,,18616000,971918000,1797890000,297751000,-674167000,2394480000,175754000,639441000,34225000,FESA4,0.65255,8.8,12.86,89.4,8.33,22.68,6.78,-0.15,12.182608695652176,12.182608695652176
ON NM,UNIFIQUE ON NM,Telecomunicações,Telecomunicações,4.61,2025-10-24,3.15,4.64,1445990,1669050000.0,1904460000.0,2025-06-30,362050000.0,9.37,132.0,629.0,155.0,72.0,843.0,-345.0,0.58,372.0,718.0,2.32,0.49,3.5,5.09,2.46,1.65,1.15,1.3699999999999999,1.41,156.0,44.0,47.0,2304200000,,,1265580000,,,178136000,,,45168000,317212000,554638000,552619000,235407000,1076870000,265358000,286142000,73438000,FIQE3,0.54567,18.93,6.21,34.71,4.5,-2.39,9.28,101.3,40.308659900556705,32.96910222543791
ON NM,FLEURY ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,14.45,2025-10-24,10.45,16.26,57499400,7906910000.0,11186500000.0,2025-06-30,547191000.0,13.04,147.0,671.0,101.0,60.0,301.0,-245.0,0.6900000000000001,556.0,949.0,2.34,1.11,9.83,2.69,1.5,0.74,0.9,1.1400000000000001,1.1300000000000001,251.0,100.0,60.0,13072400000,,,5379100000,,,606212000,,,152299000,2084610000,4368090000,5364210000,3279600000,7841620000,1178380000,2024530000,307605000,FLRY3,0.89824,21.92,15.67,8.44,16.67,15.36,24.33,68.37,8.468617533550798,-14.596377119764686
ON,FRAS-LE S.A. ON,Material de Transporte,Material Rodoviário,23.0,2025-10-24,19.57,29.24,8314930,6447710000.0,8377630000.0,2025-06-30,280335000.0,19.17,295.0,921.0,133.0,97.0,367.0,-517.0,0.26,908.0,1197.0,1.85,1.2,7.79,3.34,1.45,0.71,1.05,1.33,1.54,224.0,123.0,73.0,6637150000,,,2183560000,,,336269000,,,48317000,750162000,3172890000,2680090000,1929930000,4836110000,700004000,1360140000,179296000,FRAS3,0.49833,10.62,14.5,-36.96,10.0,-56.52,12.74,-44.61,0.9251758216419741,-32.244023292555376
ON NM,GPS ON NM,Serviços Diversos,Serviços Diversos,18.82,2025-10-24,12.43,19.34,39215300,12746400000.0,15000900000.0,2025-06-30,677281000.0,19.62,341.0,980.0,77.0,90.0,304.0,-408.0,0.16999999999999998,862.0,1154.0,2.73,0.96,5.52,1.45,0.78,0.4,0.9099999999999999,1.17,1.7399999999999998,233.0,133.0,117.0,14217100000,,,3737480000,,,649641000,,,121699000,2699320000,7341600000,4953750000,2254430000,16611900000,1300100000,4298370000,348033000,GGPS3,0.33327,21.45,10.92,-41.98,5.33,-71.68,20.59,9.4,1.3082372869476118,-15.733706092779986
