Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,ticker,Payout_Medio,PL_Medio_Subsetor
UNT N2,SANEPAR UNT N2,Água e Saneamento,Água e Saneamento,34.45,2025-10-24,24.38,37.82,41897200,10412200000.0,15714000000.0,2025-06-30,1511210000.0,4.6,88.0,534.0,149.0,42.0,2010.0,-102.0,0.64,618.0,806.0,0.95,7.48,38.99,5.66,2.79,3.2299999999999995,0.78,0.8400000000000001,1.92,121.0,57.0,28.0,24914500000,,,11784300000,,,2262240000,,,263848000,1396320000,2970920000,6698070000,5301750000,6996560000,1949230000,1705370000,567981000,SAPR11,0.29476,10.2
ON,SANEPAR ON,Água e Saneamento,Água e Saneamento,7.07,2025-10-24,4.71,8.06,1611140,10684200000.0,15986000000.0,2025-06-30,1511210000.0,4.72,91.0,548.0,153.0,43.0,2063.0,-105.0,0.58,628.0,820.0,0.95,1.5,7.8,5.66,2.79,3.2299999999999995,0.78,0.8400000000000001,1.92,121.0,57.0,28.0,24914500000,,,11784300000,,,2262240000,,,263848000,1396320000,2970920000,6698070000,5301750000,6996560000,1949230000,1705370000,567981000,SAPR3,0.27337,10.2
PN,SANEPAR PN,Água e Saneamento,Água e Saneamento,6.79,2025-10-24,4.87,7.42,7780860,10261100000.0,15562800000.0,2025-06-30,1511210000.0,4.54,87.0,526.0,147.0,41.0,1981.0,-101.0,0.6599999999999999,612.0,798.0,0.95,1.5,7.8,5.66,2.79,3.2299999999999995,0.78,0.8400000000000001,1.92,121.0,57.0,28.0,24914500000,,,11784300000,,,2262240000,,,263848000,1396320000,2970920000,6698070000,5301750000,6996560000,1949230000,1705370000,567981000,SAPR4,0.29876,10.2
ON,GRUPO SBF ON,Comércio,Produtos Diversos,12.37,2025-10-24,9.26,13.92,23187000,3025150000.0,5201790000.0,2025-06-30,244555000.0,7.9,104.0,527.0,41.0,36.0,302.0,-226.0,0.44000000000000006,511.0,906.0,1.73,1.57,11.9,4.91,0.78,0.52,0.6799999999999999,0.8400000000000001,1.3199999999999998,131.0,90.0,87.0,8435540000,,,2910560000,,,383157000,,,46411000,429032000,4189090000,2605680000,2176640000,7314620000,574081000,1817700000,106712000,SBFG3,0.34668,7.9
ON NM,SABESP ON NM,Água e Saneamento,Água e Saneamento,133.11,2025-10-24,84.12,133.11,369132000,90982000000.0,114340000000.0,2025-06-30,683510000.0,8.15,225.0,505.0,226.0,103.0,3282.0,-260.0,0.27999999999999997,564.0,634.0,2.0,16.33,59.17,5.3100000000000005,4.4799999999999995,2.7800000000000002,2.0300000000000002,2.27,2.7600000000000002,126.0,77.0,45.0,88719900000,,,40444100000,,,11164900000,,,2135960000,7925590000,13234400000,31283500000,23358000000,40226500000,18025700000,8964530000,3303650000,SBSP3,0.22824,10.2
ON NM,SER EDUCA ON NM,Diversos,Serviços Educacionais,10.69,2025-10-24,3.93,11.43,6486460,1376040000.0,1954800000.0,2025-06-30,128722000.0,14.89,105.0,339.0,65.0,41.0,557.0,-124.0,0.13999999999999999,312.0,481.0,1.26,0.72,10.21,5.83,1.9100000000000001,0.43,1.2,1.3199999999999998,0.7,135.0,63.0,63.0,3377910000,,,1314460000,,,92440000,,,81326000,250983000,952940000,829748000,578765000,2127590000,406368000,589237000,144412000,SEER3,0.20786,8.7
PN,SCHULZ PN,Máquinas e Equipamentos,"Motores, Compressores e Outros",4.64,2025-10-24,4.43,6.03,3031050,1658220000.0,1559880000.0,2025-06-30,357375000.0,6.14,110.0,983.0,82.0,59.0,137.0,324.0,0.73,653.0,924.0,0.74,0.76,4.24,2.57,0.8400000000000001,1.34,0.6,0.97,1.78,304.0,54.0,72.0,2807640000,,,1513810000,,,269941000,,,74040000,910228000,1804860000,811886000,-98342000,2015190000,168765000,538526000,53644000,SHUL4,0.44568,26.59
ON NM,SLC Agricola ON NM,Agropecuária,Agricultura,15.92,2025-10-24,15.65,20.25,29672600,7057810000.0,12890200000.0,2025-06-30,443330000.0,11.99,136.0,415.0,80.0,40.0,217.0,-152.0,0.33999999999999997,626.0,758.0,0.9800000000000001,1.33,11.68,2.92,1.9300000000000002,0.6599999999999999,0.97,1.08,1.1400000000000001,173.0,135.0,50.0,17610700000,,,5179100000,,,588584000,,,161688000,1149610000,7720450000,6982050000,5832430000,8786440000,1699670000,2254860000,474092000,SLCE3,0.40698,10.0
ON NM,SMART FIT ON NM,Viagens e Lazer,Atividades Esportivas,25.85,2025-10-24,16.51,26.73,80452400,15438900000.0,18658700000.0,2025-06-30,597250000.0,29.1,274.0,1019.0,240.0,84.0,1245.0,-175.0,0.24,604.0,1232.0,4.83,0.89,9.44,4.24,2.3600000000000003,0.8300000000000001,0.82,0.99,0.9400000000000001,145.0,106.0,35.0,18456000000,,,5639220000,,,530457000,,,159789000,2732550000,3965930000,5952370000,3219820000,6432050000,1514760000,1791140000,441831000,SMFT3,0.69708,29.1
ON NM,SAO MARTINHO ON NM,Alimentos Processados,Açucar e Alcool,14.62,2025-10-24,14.62,26.10,34691000,4860200000.0,12394100000.0,2025-06-30,332435000.0,9.47,70.0,445.0,66.0,22.0,123.0,-58.0,0.62,342.0,1134.0,1.1800000000000002,1.54,20.86,2.31,1.48,0.7,0.5,0.5900000000000001,0.74,250.0,149.0,34.0,21912200000,,,6934320000,,,513240000,,,62829000,2790210000,6596560000,10324100000,7533890000,7375490000,1092730000,1857160000,268072000,SMTO3,0.5886,9.47
