Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,ticker,Payout_Medio,PL_Medio_Subsetor
UNT N1,IGUATEMI S.A UNT N1,Exploração de Imóveis,Exploração de Imóveis,24.41,2025-10-24,16.08,24.57,50805000,7243140000.0,9624960000.0,2025-06-30,2077100000.0,12.96,160.0,900.0,531.0,74.0,350.0,-306.0,0.16,1000.0,1196.0,1.6199999999999999,1.88,15.21,7.209999999999999,5.9,4.1,0.8300000000000001,1.01,1.24,367.0,91.0,14.0,9727390000,,,4514230000,,,558918000,,,209094000,1711020000,2844080000,4092840000,2381820000,1364410000,804895000,393982000,256199000,IGTI11,0.20774,13.35
ON NM,INTELBRAS ON NM,Computadores e Equipamentos,Computadores e Equipamentos,11.83,2025-10-24,10.90,19.72,23797000,3875640000.0,4023350000.0,2025-06-30,327611000.0,8.52,126.0,812.0,82.0,74.0,162.0,239.0,0.41,686.0,843.0,1.3699999999999999,1.39,9.39,2.93,1.02,0.97,0.9199999999999999,1.28,1.48,279.0,32.0,90.0,5211770000,,,3076450000,,,454916000,,,136547000,837635000,3734050000,985348000,147713000,4699270000,477289000,1246450000,130537000,INTB3,0.34894,8.52
ON NM,IRBBRASIL RE ON NM,Previdência e Seguros,Seguradoras,48.39,2025-10-24,37.49,57.08,30917300,3960380000.0,,2025-06-30,81843000.0,6.43,76.0,489.0,67.0,25.0,,,0.0,,,22.4,7.52,63.63,0.06,1.3699999999999999,1.04,0.51,,1.1800000000000002,,,38.0,15788600000,,,5207670000,,,615477000,,,106562000,0,0,0,0,5923850000,810446000,1303450000,189151000,IRBR3,0.0,9.38
PN,ISA ENERGIA PN,Energia Elétrica,Energia Elétrica,24.53,2025-10-24,20.70,24.95,51951300,16162400000.0,28444200000.0,2025-06-30,658883000.0,4.98,78.0,388.0,198.0,37.0,294.0,-100.0,0.96,677.0,683.0,1.7100000000000002,4.93,31.27,3.9299999999999997,5.1,4.04,0.95,0.99,1.58,595.0,68.0,19.0,43946700000,,,20602000000,,,3247310000,,,215173000,1830260000,6605420000,14112100000,12281800000,8170740000,4163430000,1432870000,271597000,ISAE4,0.47766,13.4
ON N1,ITAÚSA ON N1,Intermediários Financeiros,Bancos,11.3,2025-10-24,7.99,11.57,1360930,124230000000.0,128341000000.0,2025-06-30,10993800000.0,8.0,139.0,39817.0,1492.0,109.0,1907.0,-1763.0,0.8699999999999999,8046.0,41135.0,0.1,1.41,8.15,2.5300000000000002,0.37,18.81,0.03,0.03,1.73,200.0,13.0,7.0,114124000000,,,89574000000,,,15521000000,,,4066000000,7323000000,13025000000,11434000000,4111000000,8328000000,312000000,2121000000,39000000,ITSA3,0.69723,10.2
PN N1,ITAÚSA PN N1,Intermediários Financeiros,Bancos,11.28,2025-10-24,7.78,11.47,224243000,124010000000.0,128121000000.0,2025-06-30,10993800000.0,7.99,138.0,39747.0,1489.0,109.0,1904.0,-1760.0,0.8699999999999999,8033.0,41065.0,0.1,1.41,8.15,2.5300000000000002,0.37,18.81,0.03,0.03,1.73,200.0,13.0,7.0,114124000000,,,89574000000,,,15521000000,,,4066000000,7323000000,13025000000,11434000000,4111000000,8328000000,312000000,2121000000,39000000,ITSA4,0.696,10.2
ON N1,ITAUUNIBANCO ON N1,Intermediários Financeiros,Bancos,33.97,2025-10-24,22.37,34.65,19522100,366351000000.0,,2025-06-30,10784500000.0,8.83,182.0,,,,,,0.77,,,9.24,3.85,18.62,,,0.0,0.0,,2.07,,,,479673000000,164704000000,97489000000,200814000000,8537000000,12573000000,41495000000,2928000000,3117000000,11375000000,,,,,,,,,ITUB3,0.6794,10.2
PN N1,ITAUUNIBANCO PN N1,Intermediários Financeiros,Bancos,38.03,2025-10-24,25.50,39.07,676115000,410136000000.0,,2025-06-30,10784500000.0,9.88,204.0,,,,,,0.6900000000000001,,,9.24,3.85,18.62,,,0.0,0.0,,2.07,,,,479673000000,164704000000,97489000000,200814000000,8537000000,12573000000,41495000000,2928000000,3117000000,11375000000,,,,,,,,,ITUB4,0.68158,10.2
ON,IGUATEMI S.A ON,Exploração de Imóveis,Exploração de Imóveis,29.02,2021-11-19,21.43,36.68,7666510,3395950000.0,5334030000.0,2021-09-30,117021000.0,20.27,193.0,1296.0,467.0,47.0,234.0,-168.0,0.03,1283.0,2035.0,0.1,1.43,15.06,5.279999999999999,3.6,4.63,0.36,0.45999999999999996,0.95,531.0,194.0,10.0,7251830000,,,1762140000,,,167568000,,,-62917000,1479620000,1785670000,3417690000,1938080000,727631000,262091000,209921000,82763000,JPSA3,0.06088,13.35
ON NM,JULIO SIMOES ON NM,Transporte,Transporte Rodoviário,5.41,2025-10-24,5.05,7.88,3599600,1549590000.0,8175090000.0,2025-06-30,286431000.0,12.93,85.0,147.0,16.0,13.0,69.0,-26.0,0.78,467.0,775.0,18.59,0.42,6.35,1.6300000000000001,1.1,0.13,0.86,1.0,0.6599999999999999,199.0,441.0,78.0,12229000000,,,1819290000,,,119835000,,,21400000,1393970000,4527230000,8019470000,6625500000,9545020000,1054620000,2381760000,258474000,JSLG3,1.00471,10.2
ON,KEPLER WEBER SA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,7.52,2025-10-24,6.81,9.79,8776170,1351490000.0,1336980000.0,2025-06-30,179720000.0,9.01,185.0,626.0,86.0,89.0,271.0,644.0,0.95,526.0,619.0,1.15,0.83,4.06,2.68,1.3800000000000001,0.96,1.41,2.02,2.06,198.0,47.0,103.0,1526020000,,,728883000,,,149971000,,,14396000,358239000,1007160000,343720000,-14519000,1567450000,215820000,311073000,23224000,KEPL3,0.86072,9.01
UNT N2,KLABIN UNT N2,Madeira e Papel,Papel e Celulose,17.96,2025-10-24,17.30,23.05,97873800,22197400000.0,50082800000.0,2025-06-30,6179680000.0,10.62,218.0,450.0,109.0,37.0,278.0,-70.0,0.6,528.0,1015.0,0.78,1.69,8.25,3.8600000000000003,2.42,1.1300000000000001,0.82,1.02,2.05,211.0,353.0,34.0,60335200000,,,10192500000,,,2089590000,,,572066000,8082750000,15144900000,35968200000,27885400000,20372700000,4936440000,5247200000,1367260000,KLBN11,0.63763,9.83
ON N2,KLABIN ON N2,Madeira e Papel,Papel e Celulose,3.61,2025-10-24,3.49,4.84,2303500,22308700000.0,50194100000.0,2025-06-30,6179680000.0,10.68,219.0,452.0,110.0,37.0,280.0,-70.0,0.6,529.0,1017.0,0.78,0.34,1.65,3.8600000000000003,2.42,1.1300000000000001,0.82,1.02,2.05,211.0,353.0,34.0,60335200000,,,10192500000,,,2089590000,,,572066000,8082750000,15144900000,35968200000,27885400000,20372700000,4936440000,5247200000,1367260000,KLBN3,0.63706,9.83
PN N2,KLABIN PN N2,Madeira e Papel,Papel e Celulose,3.61,2025-10-24,3.44,4.55,11022000,22308700000.0,50194100000.0,2025-06-30,6179680000.0,10.68,219.0,452.0,110.0,37.0,280.0,-70.0,0.6,529.0,1017.0,0.78,0.34,1.65,3.8600000000000003,2.42,1.1300000000000001,0.82,1.02,2.05,211.0,353.0,34.0,60335200000,,,10192500000,,,2089590000,,,572066000,8082750000,15144900000,35968200000,27885400000,20372700000,4936440000,5247200000,1367260000,KLBN4,0.63706,9.83
ON NM,LAVVI ON NM,Construção Civil,Incorporações,14.23,2025-10-24,6.60,15.47,8659700,2781030000.0,2839270000.0,2025-06-30,195434000.0,6.75,178.0,677.0,156.0,73.0,133.0,339.0,0.77,689.0,691.0,3.21,2.11,8.0,3.4899999999999998,2.3,2.66,1.0699999999999998,1.3800000000000001,2.6399999999999997,384.0,54.0,47.0,3827980000,,,1563360000,,,412007000,,,118591000,790791000,2833340000,849037000,58246000,1785470000,411004000,481894000,114850000,LAVV3,0.51929,9.18
ON,MAHLE METAL LEVE ON,Automóveis e Motocicletas,Automóveis e Motocicletas,28.36,2025-10-24,24.55,32.77,7486360,3843890000.0,5024960000.0,2025-06-30,135539000.0,7.15,520.0,461.0,75.0,103.0,669.0,-552.0,0.93,527.0,602.0,1.1199999999999999,3.97,5.45,2.7,1.6300000000000001,1.05,2.2399999999999998,3.1399999999999997,7.279999999999999,133.0,188.0,137.0,3732400000,,,739079000,,,537776000,,,126743000,208873000,2295130000,1389950000,1181070000,5104230000,834511000,1369160000,223082000,LEVE3,0.66435,6.82
ON,LIGHT SA ON,Energia Elétrica,Energia Elétrica,5.07,2025-10-24,3.69,7.30,6775540,1888860000.0,8349770000.0,2025-06-30,372555000.0,0.78,34.0,128.0,13.0,7.0,224.0,-13.0,0.0,349.0,567.0,0.04,6.5,15.0,1.7100000000000002,0.9800000000000001,1.61,0.5599999999999999,0.71,4.33,115.0,172.0,57.0,26154600000,,,5588970000,,,2420530000,,,-51444000,3176380000,6482630000,9637290000,6460910000,15030800000,1473000000,3456410000,170456000,LIGT3,0.0,13.4
ON NM,LOG COM PROP ON NM,Exploração de Imóveis,Exploração de Imóveis,23.0,2025-10-24,16.17,23.81,6524060,2020760000.0,4111000000.0,2025-06-30,87859000.0,5.47,54.0,1222.0,881.0,28.0,324.0,-107.0,0.95,2389.0,2486.0,1.1300000000000001,4.21,42.57,9.77,7.209999999999999,16.16,0.22999999999999998,0.24,0.99,170.0,63.0,3.0,7166960000,,,3740220000,,,369632000,,,86958000,280694000,1512560000,2370930000,2090240000,229293000,165364000,61466000,44422000,LOGG3,0.519,13.35
ON,RENNER ON,Comércio,"Tecidos, Vestuário e Calçados",14.8,2025-10-24,10.45,19.27,226585000,15685600000.0,14485400000.0,2025-06-30,1059840000.0,11.47,152.0,457.0,102.0,84.0,335.0,613.0,0.53,307.0,422.0,1.24,1.29,9.72,6.12,2.2199999999999998,0.89,1.83,2.2,1.33,174.0,6.0,82.0,18735300000,,,10300500000,,,1367960000,,,404496000,1790790000,10994600000,590597000,-1200190000,15432900000,3433590000,4167570000,1011030000,LREN3,0.60806,10.59
ON NM,LOCAWEB ON NM,Programas e Serviços,Programas e Serviços,4.02,2025-10-24,2.55,4.61,15180200,2275320000.0,2011550000.0,2025-06-30,565999000.0,75.8,83.0,1652.0,159.0,59.0,1046.0,2504.0,0.31,733.0,1460.0,2.2199999999999998,0.05,4.87,4.76,0.96,0.21000000000000002,0.36,0.4,0.11000000000000001,123.0,3.0,37.0,3831460000,,,2754100000,,,30018000,,,15808000,345238000,1168230000,81473000,-263765000,1433130000,137748000,370776000,38201000,LWSA3,2.4924,31.79
ON NM,MATER DEI ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,4.22,2025-10-24,3.42,4.95,1013340,1407580000.0,2157350000.0,2025-06-30,333549000.0,10.84,97.0,431.0,67.0,32.0,139.0,-104.0,0.18,496.0,661.0,1.65,0.39,4.35,2.91,1.55,0.65,0.75,0.9099999999999999,0.89,309.0,96.0,48.0,4338670000,,,1451790000,,,129810000,,,26235000,638213000,1499520000,1387990000,749777000,2102980000,326621000,545807000,96569000,MATD3,0.19477,21.92
ON NM,MARFRIG ON NM,Alimentos Processados,Carnes e Derivados,15.03,2025-10-24,11.07,24.60,235238000,21607800000.0,64671000000.0,2025-06-30,1437640000.0,7.63,762.0,347.0,14.0,16.0,223.0,-33.0,2.3,474.0,1038.0,2.0,1.97,1.97,1.28,0.39,0.24,0.45,0.67,9.99,122.0,2330.0,116.0,137817000000,,,2834440000,,,2830550000,,,85223000,22976800000,53153900000,66040000000,43063200000,159308000000,6228990000,38692000000,1225940000,MBRF3,1.75477,7.82
ON NM,M.DIASBRANCO ON NM,Alimentos Processados,Alimentos Diversos,29.48,2025-10-24,18.79,29.59,16348900,9993720000.0,9710830000.0,2025-06-30,339000000.0,17.03,123.0,1115.0,102.0,79.0,296.0,742.0,0.24,754.0,1084.0,0.82,1.73,24.01,3.28,0.9099999999999999,0.6,0.71,0.96,0.72,233.0,23.0,77.0,12704200000,,,8140170000,,,586880000,,,216382000,2154430000,5910530000,1871540000,-282887000,9824750000,896029000,2723400000,294207000,MDIA3,0.40897,16.16
ON NM,MOURA DUBEUX ON NM,Construção Civil,Incorporações,26.79,2025-10-24,9.90,29.93,18971200,2274710000.0,2456410000.0,2025-06-30,84909000.0,7.0,135.0,622.0,115.0,50.0,163.0,-398.0,0.45999999999999996,650.0,672.0,3.08,3.83,19.91,3.3,1.85,1.65,0.8,0.9099999999999999,1.92,254.0,29.0,43.0,4576480000,,,1690840000,,,324960000,,,120552000,316610000,2307960000,498306000,181696000,1973360000,365588000,664934000,135379000,MDNE3,0.32176,9.18
ON NM,MELNICK ON NM,Construção Civil,Incorporações,3.82,2025-10-24,2.45,4.18,2684330,787949000.0,828295000.0,2025-06-30,206269000.0,6.7,74.0,550.0,65.0,30.0,65.0,141.0,3.07,563.0,578.0,1.58,0.57,5.19,2.52,1.19,1.5699999999999998,0.55,0.67,1.1,265.0,41.0,46.0,2596780000,,,1069820000,,,117517000,,,39192000,398683000,1938030000,439029000,40346000,1206190000,143280000,337970000,50810000,MELK3,2.05744,9.18
ON NM,MAGAZ LUIZA ON NM,Comércio,Eletrodomésticos,8.08,2025-10-24,5.64,11.45,241666000,5971080000.0,10065000000.0,2025-06-30,738995000.0,15.49,54.0,331.0,16.0,16.0,139.0,-90.0,0.38,321.0,557.0,0.2,0.52,15.0,3.07,0.47000000000000003,0.1,0.49000000000000005,0.71,0.35,129.0,56.0,104.0,36913600000,,,11085100000,,,385596000,,,-24356000,2113620000,19219400000,6207500000,4093880000,38312500000,1805940000,9134670000,425520000,MGLU3,0.59046,15.49
ON NM,MILLS ON NM,Diversos,Aluguel de carros,12.5,2025-10-24,8.00,12.70,11835300,2927230000.0,4169200000.0,2025-06-30,234178000.0,9.71,191.0,487.0,171.0,77.0,437.0,-285.0,0.41,491.0,694.0,2.9,1.29,6.54,6.32,3.5,1.7600000000000002,1.59,1.94,1.97,221.0,115.0,45.0,3784200000,,,1530490000,,,301398000,,,87232000,519216000,1224850000,1761190000,1241970000,1714530000,600879000,450060000,160753000,MILS3,0.39729,16.81
ON,MOTIVA SA ON,Transporte,Exploração de Rodovias,15.35,2025-10-24,9.81,15.35,113942000,31007000000.0,63293700000.0,2025-06-30,2020000000.0,14.89,211.0,524.0,147.0,48.0,641.0,-79.0,0.32,832.0,1069.0,1.46,1.03,7.28,3.8299999999999996,2.81,1.01,0.9199999999999999,1.04,1.42,188.0,265.0,33.0,64512000000,,,14702500000,,,2082160000,,,897243000,6678890000,10346800000,38965600000,32286700000,21060700000,5922530000,4662280000,1541920000,MOTV3,0.47689,13.74
ON NM,MOVIDA ON NM,Diversos,Aluguel de carros,7.91,2025-10-24,3.33,9.30,29929600,2752130000.0,18800600000.0,2025-06-30,347931000.0,9.61,104.0,86.0,19.0,9.0,-124.0,-14.0,0.22999999999999998,344.0,588.0,3.4299999999999997,0.82,7.61,3.09,2.2399999999999998,0.2,1.0699999999999998,1.46,1.08,77.0,736.0,48.0,29775600000,,,2648980000,,,286460000,,,67596000,3439080000,7615070000,19487600000,16048500000,14271300000,3196330000,3679000000,841175000,MOVI3,0.22187,16.81
ON NM,MITRE REALTY ON NM,Construção Civil,Incorporações,3.6,2025-10-24,2.49,4.11,2227570,380790000.0,865505000.0,2025-06-30,105775000.0,6.63,38.0,400.0,33.0,16.0,35.0,61.0,1.42,706.0,910.0,2.2,0.54,9.38,2.52,0.8300000000000001,0.7,0.41,0.45999999999999996,0.58,235.0,67.0,49.0,2310160000,,,992548000,,,57428000,,,10393000,182609000,1889250000,667324000,484715000,1140400000,95092000,256864000,20186000,MTRE3,0.94667,9.18
ON N2,Multiplan ON N2,Exploração de Imóveis,Exploração de Imóveis,27.69,2025-10-24,19.54,29.08,93699300,14209500000.0,18591700000.0,2025-06-30,513164000.0,11.01,241.0,748.0,526.0,115.0,3337.0,-310.0,0.49000000000000005,910.0,979.0,2.46,2.51,11.51,8.11,7.029999999999999,4.779999999999999,1.54,1.67,2.19,131.0,87.0,22.0,12311300000,,,5905050000,,,1290460000,,,264367000,742293000,1816950000,5124440000,4382140000,2701190000,1899640000,694056000,438517000,MULT3,0.54056,13.35
ON,IOCHPE-MAXION ON,Automóveis e Motocicletas,Automóveis e Motocicletas,10.85,2025-10-24,9.56,14.25,14096000,1667860000.0,5584590000.0,2025-06-30,153720000.0,6.06,39.0,160.0,10.0,11.0,60.0,-52.0,0.45999999999999996,352.0,537.0,0.55,1.79,28.09,1.22,0.65,0.22999999999999998,0.7,0.96,0.64,168.0,130.0,107.0,14920100000,,,4317770000,,,275251000,,,86822000,1678690000,6926160000,5595420000,3916730000,15936500000,1040060000,4106970000,290597000,MYPK3,0.27883,6.82
ON,NATURA COSMETICOS SA ON,,,8.74,2025-10-24,8.13,10.51,120578000,12013600000.0,12180500000.0,2025-06-30,1374560000.0,17.87,127.0,407.0,53.0,60.0,175.0,408.0,0.0,333.0,413.0,0.01,0.49,6.88,6.67,1.31,0.3,1.47,2.25,0.71,203.0,26.0,112.0,20092300000,,,9460150000,,,672396000,,,365298000,2266770000,13576900000,2433650000,166879000,22561000000,2951800000,5599330000,763871000,NATU3,0.0,
ON NM,NEOENERGIA ON NM,Energia Elétrica,Energia Elétrica,28.39,2025-10-24,17.64,29.20,49868700,34459700000.0,79445700000.0,2025-06-30,1213800000.0,7.97,98.0,314.0,68.0,31.0,1129.0,-64.0,0.29,570.0,724.0,0.63,3.56,29.02,2.67,2.15,0.85,0.99,1.09,1.23,117.0,144.0,46.0,110816000000,,,35221000000,,,4325000000,,,1631000000,5709000000,21358000000,50695000000,44986000000,51028000000,10971000000,12856000000,2554000000,NEOE3,0.23127,13.4
ON NM,ODONTOPREV ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,13.04,2025-10-24,9.48,13.51,18299600,7117560000.0,6743660000.0,2025-06-30,545825000.0,12.27,551.0,956.0,303.0,336.0,-3660.0,-2208.0,0.76,842.0,906.0,0.74,1.06,2.37,3.72,3.17,2.4699999999999998,3.5200000000000005,4.39,4.49,72.0,,111.0,2118060000,,,1291700000,,,579924000,,,147828000,373902000,503735000,0,-373902000,2347890000,744530000,603695000,190787000,ODPV3,0.93494,21.92
ON NM,ORIZON ON NM,Água e Saneamento,Água e Saneamento,55.45,2025-10-24,36.22,57.86,23089500,5330230000.0,6299690000.0,2025-06-30,96126900.0,120.94,380.0,1991.0,542.0,132.0,676.0,-454.0,0.0,1407.0,2354.0,2.68,0.46,14.59,4.55,2.7199999999999998,0.5700000000000001,0.6599999999999999,0.9099999999999999,0.31,236.0,136.0,24.0,4045500000,,,1402850000,,,44072000,,,23846000,932773000,1366940000,1902230000,969454000,984261000,267660000,264181000,78803000,ORVR3,0.0,10.2
