Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,Papel,Payout_Medio,Empresa_Base,PL_Medio_Subsetor
ON NM,ORIZON ON NM,Água e Saneamento,Água e Saneamento,55.45,2025-10-24,36.22,57.86,23089500,5330230000,6299690000.0,2025-06-30,96126900,120.94,380,1991.0,542.0,132.0,676.0,-454.0,0.0,1407.0,2354.0,26.8,0.46,14.59,45.5,27.2,5.7,6.6,9.1,3.1,236.0,136.0,24.0,4045500000,,,1402850000,,,44072000,,,23846000,932773000,1366940000,1902230000,969454000,984261000,267660000,264181000,78803000,ORVR3,0.0,ORVR,6.97
ON,PETROBRAS ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",31.75,2025-10-24,30.41,39.79,331948000,409217000000,728807000000.0,2025-06-30,12888700000,5.29,103,199.0,83.0,35.0,-945.0,-64.0,16.4,261.0,355.0,6.2,6.0,30.97,49.1,41.7,15.8,17.5,18.9,19.4,76.0,93.0,42.0,1174890000000,,,399222000000,,,77372000000,,,26652000000,51847000000,135859000000,371437000000,319590000000,493122000000,205467000000,119128000000,46769000000,PETR3,86.78,PETR,4.58
PN,PETROBRAS PN,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",29.84,2025-10-24,28.30,35.88,863421000,384600000000,704190000000.0,2025-06-30,12888700000,4.97,096,187.0,78.0,33.0,-888.0,-60.0,17.4,252.0,343.0,6.2,6.0,30.97,49.1,41.7,15.8,17.5,18.9,19.4,76.0,93.0,42.0,1174890000000,,,399222000000,,,77372000000,,,26652000000,51847000000,135859000000,371437000000,319590000000,493122000000,205467000000,119128000000,46769000000,PETR4,86.54,PETR,4.58
ON NM,PROFARMA ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,7.13,2025-10-24,5.67,9.03,1607650,882787000,1727060000.0,2025-06-30,123813000,7.48,066,277.0,8.0,16.0,103.0,-7946.0,8.1,343.0,543.0,16.3,0.95,10.79,14.8,2.9,1.1,5.9,9.4,8.8,130.0,82.0,205.0,5370610000,,,1336390000,,,118009000,,,21769000,246566000,3738630000,1090840000,844274000,11032600000,318292000,2701970000,97775000,PFRM3,60.79,PFRM,15.19
ON NM,PAGUE MENOS ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,3.87,2025-10-24,2.63,3.98,8519040,2564540000,4021410000.0,2025-06-30,662673000,15.78,092,377.0,19.0,28.0,141.0,-187.0,5.6,335.0,591.0,18.1,0.25,4.19,31.9,5.0,1.2,7.5,10.1,5.9,158.0,61.0,150.0,9115560000,,,2778330000,,,162563000,,,50233000,243778000,4959880000,1700640000,1456860000,13684600000,680548000,3693370000,225933000,PGMN3,86.69,PGMN,15.19
PN,Pine PN,Intermediários Financeiros,Bancos,8.96,2025-10-24,3.72,9.00,2694230,2035050000,,2025-06-30,227126000,7.07,175,,,,,,7.2,,,57.6,1.27,5.13,,,0.0,0.0,,24.7,,,,30050200000,0,0,1165010000,670134000,27249000,287908000,211683000,8700000,83020000,,,,,,,,,PINE4,50.8,PINE,8.69
ON NM,PLANOEPLANO ON NM,Construção Civil,Incorporações,15.1,2025-10-24,7.84,18.00,16313500,3078910000,3262940000.0,2025-06-30,203901000,8.61,338,414.0,111.0,101.0,164.0,616.0,6.7,427.0,439.0,27.0,1.75,4.47,33.2,26.7,15.1,24.4,34.3,39.2,374.0,81.0,91.0,3049800000,,,911158000,,,357510000,,,83539000,553766000,2561500000,737803000,184037000,2783420000,743053000,783815000,143609000,PLPL3,57.81,PLPL,7.39
ON,PANVEL FARMÁCIAS ON,Comércio e Distribuição,Medicamentos e Outros Produtos,9.45,2025-10-24,7.75,10.33,2850410,1421060000,2448620000.0,2025-06-30,150377000,12.11,115,730.0,28.0,43.0,173.0,-797.0,3.1,588.0,1258.0,14.3,0.78,8.21,32.0,3.8,2.3,5.9,7.7,9.5,175.0,99.0,155.0,3326450000,,,1234100000,,,117385000,,,25090000,194052000,1914040000,1221610000,1027560000,5155270000,194721000,1313750000,55333000,PNVL3,37.56,PNVL,15.19
ON,MARCOPOLO ON,Material de Transporte,Material Rodoviário,7.51,2025-10-24,4.44,8.41,3670160,8533390000,9890280000.0,2025-06-30,1136270000,7.07,204,622.0,95.0,90.0,321.0,1899.0,8.3,644.0,721.0,28.1,1.06,3.67,24.7,15.3,13.6,14.5,20.0,28.9,187.0,79.0,94.0,9494730000,,,4175410000,,,1206420000,,,319344000,1954670000,5717710000,3311550000,1356880000,8963590000,1372670000,2305080000,371153000,POMO3,58.8,POMO,12.47
PN N2,MARCOPOLO PN N2,Material de Transporte,Material Rodoviário,8.69,2025-10-24,5.70,9.88,81828600,9874190000,11231100000.0,2025-06-30,1136270000,8.18,236,719.0,110.0,104.0,372.0,2197.0,7.1,731.0,818.0,28.1,1.06,3.67,24.7,15.3,13.6,14.5,20.0,28.9,187.0,79.0,94.0,9494730000,,,4175410000,,,1206420000,,,319344000,1954670000,5717710000,3311550000,1356880000,8963590000,1372670000,2305080000,371153000,POMO4,58.21,POMO,12.47
ON NM,WILSON SONS ON NM,Transporte,Serviços de Apoio e Armazenagem,18.48,2025-10-24,14.92,18.50,23407000,8185380000,10574900000.0,2025-06-30,442932000,11.79,315,883.0,262.0,130.0,-5278.0,-297.0,4.1,834.0,1140.0,5.5,1.57,5.87,48.3,29.6,22.4,14.8,16.0,26.7,86.0,103.0,50.0,6278710000,,,2601000000,,,694233000,,,166288000,284092000,923359000,2673580000,2389490000,3128760000,927492000,770403000,193970000,PORT3,48.26,PORT,13.54
ON,PETRORIO ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",37.05,2025-10-24,32.89,44.03,275001000,33209600000,51485400000.0,2025-06-30,896346000,3.14,127,779.0,232.0,60.0,1050.0,-164.0,0.0,622.0,1207.0,48.7,11.81,29.21,34.7,29.8,73.9,7.7,8.6,40.4,154.0,88.0,26.0,55437700000,,,26180900000,,,10589400000,,,680674000,4759560000,9062140000,23035300000,18275800000,14334000000,4265840000,3327790000,349102000,PRIO3,0.0,PRIO,4.58
